DATETIMEDATA,PM25
2024-03-10 21:00:00,21.508645834118845
2024-03-11 21:00:00,21.507425255084268
2024-03-12 21:00:00,21.70225352768461
2024-03-13 21:00:00,21.570966790992298
2024-03-14 21:00:00,21.63625961933237
2024-03-15 21:00:00,20.119022304107936
2024-03-16 21:00:00,19.95925085735655
2024-03-17 21:00:00,19.682476758909374
2024-03-18 21:00:00,19.577448751847083
2024-03-19 21:00:00,19.435026595377444
2024-03-20 21:00:00,20.506331264913012
2024-03-21 21:00:00,21.012675094455666
2024-03-22 21:00:00,15.45364356335655
