PM25,O3,WS,TEMP,RH,WD
17.8,4.0,1,29.0,65.0,145.0
16.7,4.0,1,29.0,70.0,147.0
17.8,6.0,1,28.0,73.0,148.0
20.7,2.0,1,28.0,75.0,121.0
15.9,20.0,1,28.0,75.0,114.0
13.8,26.0,1,28.0,76.0,111.0
17.2,27.0,1,28.0,81.0,113.0
19.2,31.0,1,27.0,83.0,113.0
20.9,28.0,1,26.0,89.0,127.0
19.3,17.0,1,25.0,93.0,100.0
13.7,6.0,1,25.0,95.0,91.0
11.8,8.0,1,25.0,96.0,92.0
14.1,11.479813664596273,1,25.0,97.0,106.0
13.1,3.0,1,25.0,96.0,122.0
16.6,9.0,1,26.0,94.0,120.0
17.2,17.0,0,26.0,93.0,123.0
18.2,23.0,1,27.0,87.0,234.0
16.4,13.208916033332045,1,28.0,78.0,231.0
19.1,2.0,1,30.0,69.0,227.0
16.8,2.0,1,30.0,65.0,218.0
17.7,2.0,2,28.0,79.0,228.0
21.3,9.0,1,28.0,78.0,212.0
19.6,3.0,1,30.0,67.0,237.0
16.7,13.208916033332045,1,29.0,69.0,230.0
16.3,11.479813664596273,1,28.0,72.0,190.0
15.9,1.0,1,28.0,74.0,162.0
20.7,19.0,1,28.0,74.0,163.0
14.0,8.0,1,28.0,75.0,176.0
13.5,14.0,1,28.0,77.0,131.0
15.7,11.479813664596273,1,27.0,79.0,116.0
11.9,11.479813664596273,1,27.0,82.0,117.0
13.9,1.0,1,27.0,83.0,113.0
15.7,15.0,1,27.0,83.0,103.0
10.3,22.0,1,27.0,84.0,103.0
16.5,11.479813664596273,1,27.0,84.0,98.0
11.2,1.0,1,27.0,84.0,106.0
19.4,11.479813664596273,1,26.0,86.0,108.0
14.6,1.0,1,27.0,85.0,115.0
14.2,13.0,1,27.0,83.0,113.0
13.1,9.0,1,27.0,85.0,110.0
16.8,1.0,1,28.0,78.0,115.0
14.1,11.479813664596273,1,29.0,75.0,155.0
17.813627386438448,11.479813664596273,1,30.0,68.0,166.0
16.5,4.0,1,30.0,65.0,211.0
13.8,5.0,1,31.0,65.0,201.0
16.2,2.0,1,31.0,62.0,214.0
16.9,11.479813664596273,1,31.0,63.0,182.0
14.6,11.479813664596273,1,30.0,67.0,190.0
15.5,13.208916033332045,1,29.0,72.0,178.0
16.7,6.0,1,28.0,79.0,188.0
14.5,5.0,1,28.0,78.0,173.0
15.2,1.0,1,28.0,78.0,170.0
13.3,1.0,1,28.0,78.0,181.0
15.9,11.479813664596273,1,27.0,79.0,133.0
11.2,11.479813664596273,1,27.0,80.0,120.0
13.2,2.0,1,27.0,81.0,115.0
13.5,14.0,1,27.0,81.0,106.0
14.9,11.0,1,27.0,82.0,109.0
13.8,1.0,1,27.0,80.0,112.0
13.3,1.0,1,26.0,82.0,110.0
14.9,3.0,1,27.0,82.0,112.0
11.7,11.479813664596273,1,26.0,87.0,109.0
18.0,4.0,1,26.0,90.0,111.0
20.4,6.0,1,28.0,79.0,154.0
12.6,21.0,1,29.0,74.0,195.0
9.9,22.0,1,30.0,68.0,134.0
13.9,22.0,1,31.0,63.0,164.0
19.5,11.479813664596273,1,31.0,64.0,149.0
